"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R16","R0603","84.9mm","16.3mm","84.9mm","16.3mm","84.9mm","15.5466mm","T","90.00","10k£["
"R13","R0603","82.2466mm","17.9966mm","82.2466mm","17.9966mm","81.4933mm","17.9966mm","T","0.00","51£["
"R10","R0603","88.0067mm","28.925mm","88.0067mm","28.925mm","87.2533mm","28.925mm","T","0.00","51£["
"R12","R0603","81.7533mm","27.925mm","81.7533mm","27.925mm","81.7533mm","28.6784mm","T","270.00","1k£["
"R14","R0603","82.25mm","12.9966mm","82.25mm","12.9966mm","83.0033mm","12.9966mm","T","180.00","510£["
"R15","R0603","87.25mm","12.9966mm","87.25mm","12.9966mm","86.4966mm","12.9966mm","T","0.00","510£["
"R17","R0603","84.75mm","12.9966mm","84.75mm","12.9966mm","84.75mm","13.75mm","T","270.00","0£["
"R11","R0603","88.0067mm","27.175mm","88.0067mm","27.175mm","87.2533mm","27.175mm","T","0.00","0£["
"R18","R0603","88.0033mm","24.175mm","88.0033mm","24.175mm","87.25mm","24.175mm","T","0.00","51£["
"R19","R0603","81.7533mm","24.175mm","81.7533mm","24.175mm","81.7533mm","24.9284mm","T","270.00","1k£["
"R21","R0603","78.5mm","49.7534mm","78.5mm","49.7534mm","78.5mm","49mm","T","90.00","0£["
"R22","R0603","78mm","43.25mm","78mm","43.25mm","78.7534mm","43.25mm","T","180.00","0£["
"R23","R0603","80.264mm","49.784mm","80.264mm","49.784mm","80.264mm","49.0306mm","T","90.00","51£["
"R24","R0603","75.25mm","45.7534mm","75.25mm","45.7534mm","75.25mm","45mm","T","90.00","0£["
"R26","R0603","75.9966mm","49mm","75.9966mm","49mm","76.75mm","49mm","T","180.00","0£["
"STM1","DIP-40_L50.8-W17.8-P2.54-LS15.2-BL","25.8701mm","30.0001mm","25.8701mm","30mm","1.7401mm","22.3801mm","T","0.00","IC®y-40P"
"SW1","SW-SMD_4P-L6.0-W6.0-P4.50-LS9.0","94.107mm","38.608mm","94.107mm","38.608mm","98.507mm","36.3579mm","T","180.00","KH-6X6X4.3H-STM"
"U9","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","4.915mm","46.637mm","4.915mm","46.637mm","2.1426mm","48.542mm","T","270.00","ATSHA204A-SSHDA-T"
"U10","BUZ-TH_BD12.0-P7.60-D0.6-FD","70.75mm","30mm","70.75mm","30mm","66.95mm","30mm","T","0.00","2.9kHz"
"U11","BUZ-SMD_4P-L8.5-W8.5-P8.50-TL-A","70.6504mm","29.9003mm","70.6504mm","29.9003mm","67.0506mm","26.3004mm","T","90.00","2.731kHz"
"U12","TJC4832T135_011C","50mm","30mm","50mm","30mm","2.95mm","54.27mm","T","0.00",""
"U1","PWRM-TH_IBXX05S-2WR3","32.22mm","1.425mm","32.22mm","1.425mm","38.57mm","1.425mm","T","180.00","B0505S-2WR3"
"U4","PWRM-TH_B0505S-1WR3T","27.14mm","5.235mm","27.14mm","5.235mm","30.95mm","5.235mm","T","180.00","B0505S-1WR2"
"U3","TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL","47.043mm","8.625mm","47.043mm","8.625mm","47.9929mm","9.7726mm","T","180.00","AP3012KTR-G1"
"U5","SC70-6_L2.0-W1.3-P0.65-LS2.1-BL","82.25mm","15.4966mm","82.25mm","15.4966mm","81.3mm","16.1468mm","T","270.00","TMUX1237DCKR"
"U6","SC70-6_L2.0-W1.3-P0.65-LS2.1-BL","87.25mm","15.4966mm","87.25mm","15.4966mm","86.3mm","16.1468mm","T","270.00","TMUX1237DCKR"
"U7","SOIC-8_L4.9-W3.9-P1.27-LS6.0-TR","70.7501mm","44.7501mm","70.75mm","44.75mm","72.6551mm","47.49mm","T","0.00","DAC8830ICD"
"U8","SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR","78mm","45.9999mm","78mm","46mm","78.9498mm","47.1mm","T","90.00","MCP6001M5/TR"
"USB1","USB-B-TH_U241-041N-1BR85-1","13.1697mm","12.5001mm","13.1697mm","12.5001mm","14.44mm","14.855mm","T","0.00","U241-041N-1BR85-5"
"R30","R0603","1.613mm","14.506mm","1.613mm","14.506mm","1.613mm","15.2594mm","T","270.00","0£["
"P1","HDR-TH_2P-P2.54-V-M","45.847mm","1.397mm","45.847mm","1.397mm","44.577mm","1.397mm","T","0.00","PZ254V-11-02P"
"L1","IND-SMD_L4.0-W4.0","58.166mm","9.9571mm","58.166mm","9.9571mm","58.166mm","8.3571mm","T","90.00","10uH"
"LED4","LED0603-R-RD_GREEN","82.042mm","52.7431mm","82.042mm","52.7431mm","82.042mm","51.8922mm","T","270.00","SZYY0603G"
"LED5","LED0603-R-RD","92.329mm","52.705mm","92.329mm","52.705mm","92.329mm","51.8541mm","T","270.00","SZYY0603R"

